order_timestamp;distance_in_meters;duration_in_seconds;tender_timestamp;pickup_in_meters;pickup_in_seconds;price_start_local
01.06.2020 0:00;0;0;01.06.2020 0:01;676;96;150
01.06.2020 0:01;0;0;01.06.2020 0:02;691;98;150
01.06.2020 0:02;0;0;01.06.2020 0:02;1638;246;200
01.06.2020 0:03;0;0;01.06.2020 0:03;639;89;150
01.06.2020 0:04;10654;966;01.06.2020 0:04;1343;207;400
01.06.2020 0:05;2953;375;01.06.2020 0:06;1469;201;150
01.06.2020 0:05;15137;1207;01.06.2020 0:12;1420;237;400
01.06.2020 0:07;2953;375;01.06.2020 0:07;881;159;200
01.06.2020 0:09;0;0;01.06.2020 0:09;1151;167;150
01.06.2020 0:09;1797;236;01.06.2020 0:13;71;13;200
01.06.2020 0:11;0;0;01.06.2020 0:12;78;16;250
01.06.2020 0:13;0;0;01.06.2020 0:15;2703;411;250
01.06.2020 0:15;915;186;01.06.2020 0:15;891;176;200
01.06.2020 0:15;915;186;01.06.2020 0:15;738;138;200
01.06.2020 0:20;7883;835;01.06.2020 0:21;1709;249;300
01.06.2020 0:20;1618;308;01.06.2020 0:20;667;98;150
01.06.2020 0:23;2198;304;01.06.2020 0:23;973;165;240
01.06.2020 0:23;1648;237;01.06.2020 0:23;798;165;200
01.06.2020 0:23;1648;237;01.06.2020 0:23;650;128;200
01.06.2020 0:24;2198;304;01.06.2020 0:24;1277;170;260
01.06.2020 0:24;2198;304;01.06.2020 0:24;1277;222;260
01.06.2020 0:25;8592;795;01.06.2020 0:25;920;164;350
01.06.2020 0:27;0;0;01.06.2020 0:31;3235;429;1000
01.06.2020 0:39;16800;1133;01.06.2020 0:39;796;105;400
01.06.2020 0:44;1470;168;01.06.2020 0:44;365;54;200
01.06.2020 0:44;1403;202;01.06.2020 0:44;1878;275;150
01.06.2020 0:49;0;0;01.06.2020 0:49;817;84;250
01.06.2020 0:52;5225;568;01.06.2020 0:53;2720;428;300
01.06.2020 0:53;2844;469;01.06.2020 0:53;2358;367;250
01.06.2020 0:57;1586;214;01.06.2020 0:58;1527;189;150
01.06.2020 1:01;8999;733;01.06.2020 1:05;852;176;300
01.06.2020 1:16;0;0;01.06.2020 1:16;960;141;200
01.06.2020 1:16;0;0;01.06.2020 1:16;61;15;200
01.06.2020 1:18;7530;915;01.06.2020 1:19;1381;206;200
01.06.2020 1:18;7019;877;01.06.2020 1:18;706;143;350
